כותרת,הערה,כתובת אתר,תגיות,תגובה
,,,,
Shogun Burger Shibuya,המבורגר ואגיו,https://www.google.com/maps/place/Shogun+Burger+Shibuya/data=!4m2!3m1!1s0x60188debdab7b4a7:0x83ca0573b60aea1f,,
Shogun Burger Shinjuku,המבורגר ואגיו,https://www.google.com/maps/place/Shogun+Burger+Shinjuku/data=!4m2!3m1!1s0x60188d527b9db527:0x8d421b36bbcce5f7,,
SHOGUN BURGER TOKYU KABUKICHO TOWER店,המבורגר ואגיו,https://www.google.com/maps/place/SHOGUN+BURGER+TOKYU+KABUKICHO+TOWER%E5%BA%97/data=!4m2!3m1!1s0x60188d0070759c9f:0x684e169be2dcbf6,,
Kanazawa Maimon Sushi Shibuya Parco,,https://www.google.com/maps/place/Kanazawa+Maimon+Sushi+Shibuya+Parco/data=!4m2!3m1!1s0x60188dcbad279f05:0x5701e48a2f86776,,
Kura Sushi Plus Kyoto,,https://www.google.com/maps/place/Kura+Sushi+Plus+Kyoto/data=!4m2!3m1!1s0x60010956b56439b7:0xbb5651fe97044c02,,
Kura Sushi - Nijo,,https://www.google.com/maps/place/Kura+Sushi+-+Nijo/data=!4m2!3m1!1s0x600107cc166c5da9:0x8878e59c1040c177,,
Kura Sushi Kyoto Teramachi-Dori Street Store,,https://www.google.com/maps/place/Kura+Sushi+Kyoto+Teramachi-Dori+Street+Store/data=!4m2!3m1!1s0x60010905e9af0547:0x528faafcd569878e,,
Kura Sushi - Kyōto-minami Interchange,,https://www.google.com/maps/place/Kura+Sushi+-+Ky%C5%8Dto-minami+Interchange/data=!4m2!3m1!1s0x600105f0f2b3339f:0x942bc08ae06e5713,,
eggslut 京都四条店,,https://www.google.com/maps/place/eggslut+%E4%BA%AC%E9%83%BD%E5%9B%9B%E6%9D%A1%E5%BA%97/data=!4m2!3m1!1s0x600109590c8aecb5:0xf3cb4dd06201cd79,,
Sushiro,,https://www.google.com/maps/place/Sushiro/data=!4m2!3m1!1s0x60188dc251cd0b47:0x584ad3ba731acebd,,
Sushi Oedo,סושי,https://www.google.com/maps/place/Sushi+Oedo/data=!4m2!3m1!1s0x60188cd700788c6b:0xe046ae40eb25998b,,
eggslut Shinjuku Southern Terrace,כריך ביצים ומאפים,https://www.google.com/maps/place/eggslut+Shinjuku+Southern+Terrace/data=!4m2!3m1!1s0x60188d692c284251:0xdede8ae8ccdcb441,,
Sushi YOSAKURA Shinsaibashi,סושי,https://www.google.com/maps/place/Sushi+YOSAKURA+Shinsaibashi/data=!4m2!3m1!1s0x6000e7fcb98c6c1f:0xcc53cad8730e9c65,,
Daiki-Suisan Kaitenzushi Namba Takashimaya,סושי,https://www.google.com/maps/place/Daiki-Suisan+Kaitenzushi+Namba+Takashimaya/data=!4m2!3m1!1s0x6000e78e0ac82e0f:0xcbb07fcb287cd1da,,
Daiki-Suisan Kaitenzushi Kawaramachi Sanjo,סושי,https://www.google.com/maps/place/Daiki-Suisan+Kaitenzushi+Kawaramachi+Sanjo/data=!4m2!3m1!1s0x60010893855910af:0x7cbd06fb88394cc1,,
Sushiro,,https://www.google.com/maps/place/Sushiro/data=!4m2!3m1!1s0x600109001b8a4d05:0x2d1b7dea917dd7ef,,
Yakiniku MARUTOMI,ארוחת ערב של בשרים מובחרים על הגריל,https://www.google.com/maps/place/Yakiniku+MARUTOMI/data=!4m2!3m1!1s0x6001089567cf226b:0x66e9c254549c0445,,
Chao Chao Gyoza - Sanjo Kiyamachi,מסעדת גיוזות מקומית מעולה וזולה מאוד ליד הנהר – מגשי גיוזות פריכות במגוון מילויים ובירה קרה,https://www.google.com/maps/place/Chao+Chao+Gyoza+-+Sanjo+Kiyamachi/data=!4m2!3m1!1s0x600108934e45f8a7:0x2a048fba9a836b57,,
Nishiki Market,,https://www.google.com/maps/place/Nishiki+Market/data=!4m2!3m1!1s0x6001089ccd8ccb4f:0xb69ea31001ec6c9c,,
Katsukura Tonkatsu Sanjo Main Store,שניצל יפני עבה וקריספי,https://www.google.com/maps/place/Katsukura+Tonkatsu+Sanjo+Main+Store/data=!4m2!3m1!1s0x600108924bc95555:0xfcd90d86e34ea515,,
