כותרת,הערה,כתובת אתר,תגיות,תגובה
,,,,
Nishiki Market,שוק אוכל,https://www.google.com/maps/place/Nishiki+Market/data=!4m2!3m1!1s0x6001089ccd8ccb4f:0xb69ea31001ec6c9c,,
טירת ניג'ו,טירת ניג'ו (Nijo Castle),https://www.google.com/maps/place/%D7%98%D7%99%D7%A8%D7%AA+%D7%A0%D7%99%D7%92'%D7%95%E2%80%AD/data=!4m2!3m1!1s0x600107d40a2b9b0b:0x106b8759906a2f2f,,
אומדה סקיי בילדינג,"התצפית (Kuchu Teien Observatory):  גשר צף פתוח לחלוטין תחת כיפת השמיים בקומה ה-39 שמחבר בין שני מגדלים.  מגיעים ב-17:15–17:30 כדי לתפוס את שקיעת השמש מעל מפרץ אוסקה והנהרות, ולראות איך כל גורדי השחקים נדלקים באורות ניאון. 38 ₪ לבן אדם.",https://www.google.com/maps/place/%D7%90%D7%95%D7%9E%D7%93%D7%94+%D7%A1%D7%A7%D7%99%D7%99+%D7%91%D7%99%D7%9C%D7%93%D7%99%D7%A0%D7%92%E2%80%AD/data=!4m2!3m1!1s0x6000e6889074276f:0x57c2e32670decafd,,
Shinsaibashi-Suji Shopping Street,רחוב הקניות,https://www.google.com/maps/place/Shinsaibashi-Suji+Shopping+Street/data=!4m2!3m1!1s0x6000e713fc37b373:0x625cc4399599c323,,
Namba,,https://www.google.com/maps/place/Namba/data=!4m2!3m1!1s0x6000e76cc9c97339:0x538e516129f4166a,,
Dadaocheng Wharf Container Market,מתחם מכולות בנמל,https://www.google.com/maps/place/Dadaocheng+Wharf+Container+Market/data=!4m2!3m1!1s0x3442a91146436021:0x6dafa0aee6af38bf,,
Qingtiangang Grassland,,https://www.google.com/maps/place/Qingtiangang+Grassland/data=!4m2!3m1!1s0x3442b2648c55e835:0xd919763355207088,,
Yangmingshan National Park,יום טבע,https://www.google.com/maps/place/Yangmingshan+National+Park/data=!4m2!3m1!1s0x3442adf824cfc74b:0x5c0be3a34fc3b079,,
Elephant Mountain Trail,,https://www.google.com/maps/place/Elephant+Mountain+Trail/data=!4m2!3m1!1s0x3442ab1950005a23:0x907b0e39bfb279f6,,
"No. 2 樓3, Alley 1, Lane 253, Songren Rd, Sanli Village, Xinyi District",אחת מנקודות הצילום האיקוניות ביותר מול מגדל Taipei 101,"https://www.google.com/maps/place/No.+2+%E6%A8%933,+Alley+1,+Lane+253,+Songren+Rd,+Sanli+Village,+Xinyi+District/data=!4m2!3m1!1s0x3442abb2ce58d9cb:0x17eaf1c85fc6ae67",,
"Yongkang St, Da’an District",רחוב להסתובב,"https://www.google.com/maps/place/Yongkang+St,+Da%E2%80%99an+District/data=!4m2!3m1!1s0x3442a983bf3ca4f9:0x52d54638cd5328d1",,
Ximending Walking District,מעבר החציה המפורסם,https://www.google.com/maps/place/Ximending+Walking+District/data=!4m2!3m1!1s0x3442a909415dc0bb:0x3f5445181a0c0cc8,,
Dulan Seaside Viewpoint,,https://www.google.com/maps/place/Dulan+Seaside+Viewpoint/data=!4m2!3m1!1s0x346fa31c5ec78877:0x61350d2fe2f51af6,,
