כותרת,הערה,כתובת אתר,תגיות,תגובה
,,,,
Don Quijote Shinjuku Tonanguchi,,https://www.google.com/maps/place/Don+Quijote+Shinjuku+Tonanguchi/data=!4m2!3m1!1s0x60188cda8816c3d7:0xd7380245bcb993b1,,
Don Quijote,,https://www.google.com/maps/place/Don+Quijote/data=!4m2!3m1!1s0x60188d007a40febb:0xa448a2830b8e855f,,
BICQLO UNIQLO Shinjuku Higashiguchi,,https://www.google.com/maps/place/BICQLO+UNIQLO+Shinjuku+Higashiguchi/data=!4m2!3m1!1s0x60188cda469f9973:0x731b3c6924e18d61,,
UNIQLO Shinjuku South-East Entrance Flags Store,,https://www.google.com/maps/place/UNIQLO+Shinjuku+South-East+Entrance+Flags+Store/data=!4m2!3m1!1s0x60188ddf7653b799:0x4945940362306139,,
UNIQLO Takashimaya Shinjuku,,https://www.google.com/maps/place/UNIQLO+Takashimaya+Shinjuku/data=!4m2!3m1!1s0x60188cc54f5d1e11:0xe610d17919ebb90b,,
ABC-MART SEIBU Shinjuku PePe Shop,חנות נעליים מומלצת,https://www.google.com/maps/place/ABC-MART+SEIBU+Shinjuku+PePe+Shop/data=!4m2!3m1!1s0x60188cd7e0adf6b7:0x437f60361f3abb2d,,
ABC-MART,חנות נעליים מומלצת,https://www.google.com/maps/place/ABC-MART/data=!4m2!3m1!1s0x60188cd1454972c9:0x22c8bee55428a355,,
LOWECO by JAM アメリカ村店,חנות יד 2,https://www.google.com/maps/place/LOWECO+by+JAM+%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E6%9D%91%E5%BA%97/data=!4m2!3m1!1s0x6000e7c7999d9139:0x2277cb202f543bc3,,
LOWECO by JAM 心斎橋店,חנות יד 2,https://www.google.com/maps/place/LOWECO+by+JAM+%E5%BF%83%E6%96%8E%E6%A9%8B%E5%BA%97/data=!4m2!3m1!1s0x6000e7261c746341:0xe676d5e2e480c4c8,,
MEGA Don Quijote,,https://www.google.com/maps/place/MEGA+Don+Quijote/data=!4m2!3m1!1s0x60188ca9a47a82af:0x7ea0d3bc82ce0275,,
