כותרת,הערה,כתובת אתר,תגיות,תגובה
,,,,
Sakimoto Bakery,,https://www.google.com/maps/place/Sakimoto+Bakery/data=!4m2!3m1!1s0x6000dd038c00ae8f:0xed4d4704a39ce26e,,
Ourlog Coffee Honmachi,,https://www.google.com/maps/place/Ourlog+Coffee+Honmachi/data=!4m2!3m1!1s0x6000e7fa6c0ce279:0xaa4207e05788d568,,
Ourlog coffee 桃谷店,,https://www.google.com/maps/place/Ourlog+coffee+%E6%A1%83%E8%B0%B7%E5%BA%97/data=!4m2!3m1!1s0x6000df00425cf0fd:0x837b24133f7a57b5,,
neel,,https://www.google.com/maps/place/neel/data=!4m2!3m1!1s0x60188bbea231b4e3:0x676d2a3186d43e9c,,
neel神宮前,,https://www.google.com/maps/place/neel%E7%A5%9E%E5%AE%AE%E5%89%8D/data=!4m2!3m1!1s0x60188dfdd28df29f:0x954651b4ff00f2c8,,
Brooklyn Roasting Company Shimo-Kitazawa,,https://www.google.com/maps/place/Brooklyn+Roasting+Company+Shimo-Kitazawa/data=!4m2!3m1!1s0x6018f33246667919:0xb9c97401b3e0fc8f,,
Brooklyn Roasting Company Namba,,https://www.google.com/maps/place/Brooklyn+Roasting+Company+Namba/data=!4m2!3m1!1s0x6000e768bf0c5e67:0x162381cf41b97b4f,,
here Kyoto Kiyomizu,,https://www.google.com/maps/place/here+Kyoto+Kiyomizu/data=!4m2!3m1!1s0x600109aeb5734129:0x74e2d4e0790bcd4a,,
Blue Bottle Coffee - Umeda Chayamachi Cafe,,https://www.google.com/maps/place/Blue+Bottle+Coffee+-+Umeda+Chayamachi+Cafe/data=!4m2!3m1!1s0x6000e7518856d7ab:0x3eb029cfa7b91696,,
Blue Bottle Coffee - Kyoto Rokkaku Cafe,,https://www.google.com/maps/place/Blue+Bottle+Coffee+-+Kyoto+Rokkaku+Cafe/data=!4m2!3m1!1s0x6001091ea1a09fdd:0xf560a1d951144a14,,
Blue Bottle Coffee - Kyoto Cafe,,https://www.google.com/maps/place/Blue+Bottle+Coffee+-+Kyoto+Cafe/data=!4m2!3m1!1s0x600108dff0092711:0x4550bc06a6cf79af,,
Blue Bottle Coffee - Kiyosumi-Shirakawa Flagship Cafe,,https://www.google.com/maps/place/Blue+Bottle+Coffee+-+Kiyosumi-Shirakawa+Flagship+Cafe/data=!4m2!3m1!1s0x60188916dc695555:0xbcc9846c4712087c,,
Cafe＆Coffee %ARABICA Tokyo Azabudai Hills B1F,,https://www.google.com/maps/place/Cafe%EF%BC%86Coffee+%25ARABICA+Tokyo+Azabudai+Hills+B1F/data=!4m2!3m1!1s0x60188b095c6e2959:0xd4f0f1f3305289c0,,
%ARABICA Tokyo Azabudai Hills 4F,,https://www.google.com/maps/place/%25ARABICA+Tokyo+Azabudai+Hills+4F/data=!4m2!3m1!1s0x60188baa51e2ac59:0x5c9ee4f4f64ef114,,
Brooklyn Roasting Company Kitahama,,https://www.google.com/maps/place/Brooklyn+Roasting+Company+Kitahama/data=!4m2!3m1!1s0x6000e6e70c6b3b3b:0x2b9f9664667b9e1a,,
Ourlog Coffee Roasters,,https://www.google.com/maps/place/Ourlog+Coffee+Roasters/data=!4m2!3m1!1s0x6000e7c26f6a6f4b:0xdec4ae4e6346c172,,
AUN COFFEE ROASTERS,,https://www.google.com/maps/place/AUN+COFFEE+ROASTERS/data=!4m2!3m1!1s0x6000e748acc28077:0xe69fb4c188824791,,
neel nakazakicho,,https://www.google.com/maps/place/neel+nakazakicho/data=!4m2!3m1!1s0x6000e76abdc0221b:0xf9258d4a02055f81,,
SAKImoto COFFEE,,https://www.google.com/maps/place/SAKImoto+COFFEE/data=!4m2!3m1!1s0x6000e7697e915b0d:0xa053965732053447,,
here Kyoto,,https://www.google.com/maps/place/here+Kyoto/data=!4m2!3m1!1s0x600109f56b5f6daf:0x7723b766886e3d07,,
COYOTE the ordinary shop,,https://www.google.com/maps/place/COYOTE+the+ordinary+shop/data=!4m2!3m1!1s0x6001092d03f97461:0x683efd33e2c02e98,,
Kurasu Kyoto Stand,,https://www.google.com/maps/place/Kurasu+Kyoto+Stand/data=!4m2!3m1!1s0x600108a87b2b7121:0x5f6d1f35309f5711,,
% ARABICA Kyoto Higashiyama,,https://www.google.com/maps/place/%25+ARABICA+Kyoto+Higashiyama/data=!4m2!3m1!1s0x600108c576036d9d:0x5241bd15bb462f3b,,
Blue Bottle Coffee - Shibuya Cafe,,https://www.google.com/maps/place/Blue+Bottle+Coffee+-+Shibuya+Cafe/data=!4m2!3m1!1s0x60188db56f1c7a89:0x842e161c85415579,,
Tailored Cafe,,https://www.google.com/maps/place/Tailored+Cafe/data=!4m2!3m1!1s0x60188d9e0926a8ad:0xa905d73a80b8f826,,
TERON COFFEE & BAR,,https://www.google.com/maps/place/TERON+COFFEE+%26+BAR/data=!4m2!3m1!1s0x60188b9b1e933079:0xa22bb983b8a3cc97,,
Starbucks (Hanzhong Store),,https://www.google.com/maps/place/Starbucks+(Hanzhong+Store)/data=!4m2!3m1!1s0x3442a90790ec63ad:0x65e2859d3a57b5ff,,
